NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286304,12,2023,900030,2,,3,5292.6667
05286304,12,2023,900030,2,,4,4820.6667
05286304,12,2023,900030,2,,5,4732.6667
05286304,12,2023,900170,2,,1,301.3333
05286304,12,2023,900170,2,,2,265.3333
05286304,12,2023,900170,2,,3,254.5
05286304,12,2023,900170,2,,4,268.8333
05286304,12,2023,900170,2,,5,307.25
05286304,12,2023,980000,2,,1,4432
05286304,12,2023,980000,2,,2,3937
05286304,12,2023,980000,2,,3,5547.1667
05286304,12,2023,980000,2,,4,5089.5
05286304,12,2023,980000,2,,5,5039.9167
05286304,12,2023,980071,2,,1,4432
05286304,12,2023,980071,2,,2,3937
05286304,12,2023,980071,2,,3,5547.1666667
05286304,12,2023,980071,2,,4,5089.5
05286304,12,2023,980071,2,,5,5039.9166667
05286334,10,2023,800940,2,T,1,2446.0052
05286334,10,2023,800940,2,T,2,2446.0052
05286334,10,2023,800940,2,T,3,2446.0052
05286334,10,2023,800940,2,T,4,2446.0052
05286334,10,2023,800940,2,T,5,2446.0052
05286334,10,2023,900000,2,T,1,51438.004
05286334,10,2023,900000,2,T,2,51438.004
05286334,10,2023,900000,2,T,3,51438.004
05286334,10,2023,900000,2,T,4,51438.004
05286334,10,2023,900000,2,T,5,51438.004
05286334,10,2023,900180,2,T,1,8430.8689
05286334,10,2023,900180,2,T,2,8430.8689
05286334,10,2023,900180,2,T,3,8430.8689
05286334,10,2023,900180,2,T,4,8430.8689
05286334,10,2023,900180,2,T,5,8430.8689
05286334,10,2023,980000,2,T,1,59868.8729
05286334,10,2023,980000,2,T,2,59868.8729
05286334,10,2023,980000,2,T,3,59868.8729
05286334,10,2023,980000,2,T,4,59868.8729
05286334,10,2023,980000,2,T,5,59868.8729
05286334,10,2023,980071,2,T,1,38999
05286334,10,2023,980071,2,T,2,38999
05286334,10,2023,980071,2,T,3,38999
05286334,10,2023,980071,2,T,4,38999
05286334,10,2023,980071,2,T,5,38999
05286334,11,2023,800940,2,T,1,2446.0052
05286334,11,2023,800940,2,T,2,2446.0052
05286334,11,2023,800940,2,T,3,2446.0052
05286334,11,2023,800940,2,T,4,2446.0052
05286334,11,2023,800940,2,T,5,2446.0052
05286334,11,2023,900000,2,T,1,51438.004
05286334,11,2023,900000,2,T,2,51438.004
05286334,11,2023,900000,2,T,3,51438.004
05286334,11,2023,900000,2,T,4,51438.004
05286334,11,2023,900000,2,T,5,51438.004
05286334,11,2023,900180,2,T,1,8430.8689
05286334,11,2023,900180,2,T,2,8430.8689
05286334,11,2023,900180,2,T,3,8430.8689
05286334,11,2023,900180,2,T,4,8430.8689
05286334,11,2023,900180,2,T,5,8430.8689
05286334,11,2023,980000,2,T,1,59868.8729
05286334,11,2023,980000,2,T,2,59868.8729
