NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286294,10,2023,980000,2,20541.6667,
05286294,10,2023,980010,2,0.1667,
05286294,10,2023,980020,2,4.9167,
05286294,10,2023,980030,2,0.1667,
05286294,10,2023,980040,2,0.2500,
05286294,10,2023,980071,2,16394.8333,
05286294,10,2023,980090,1,8.3333,
05286294,10,2023,980220,2,8.3333,
05286294,10,2023,980240,2,8.3333,
05286294,10,2023,980281,2,8.3333,
05286294,10,2023,980286,2,8.3333,
05286294,10,2023,980310,2,8.3333,
05286294,10,2023,980330,2,8.3333,
05286294,10,2023,980350,2,8.3333,
05286294,11,2023,005100,2,16166.6667,
05286294,11,2023,005110,2,12333.3333,
05286294,11,2023,005300,2,16666.6667,
05286294,11,2023,005310,2,14166.6667,
05286294,11,2023,005700,2,5000.0000,
05286294,11,2023,005710,2,1970.8333,
05286294,11,2023,005800,2,5000.0000,
05286294,11,2023,005810,2,4250.0000,
05286294,11,2023,800940,2,1380.5000,
05286294,11,2023,900000,2,20166.6667,
05286294,11,2023,900180,2,375.0000,
05286294,11,2023,950004,2,3384.5833,
05286294,11,2023,950014,2,762.2500,
05286294,11,2023,980000,2,20541.6667,
05286294,11,2023,980010,2,0.1667,
05286294,11,2023,980020,2,4.9167,
05286294,11,2023,980030,2,0.1667,
05286294,11,2023,980040,2,0.2500,
05286294,11,2023,980071,2,16394.8333,
05286294,11,2023,980090,1,8.3333,
05286294,11,2023,980220,2,8.3333,
05286294,11,2023,980240,2,8.3333,
05286294,11,2023,980281,2,8.3333,
05286294,11,2023,980286,2,8.3333,
05286294,11,2023,980310,2,8.3333,
05286294,11,2023,980330,2,8.3333,
05286294,11,2023,980350,2,8.3333,
05286294,12,2023,005100,2,16166.6667,
05286294,12,2023,005110,2,12333.3333,
05286294,12,2023,005300,2,16666.6667,
05286294,12,2023,005310,2,14166.6667,
05286294,12,2023,005700,2,5000.0000,
05286294,12,2023,005710,2,1970.8333,
05286294,12,2023,005800,2,5000.0000,
05286294,12,2023,005810,2,4250.0000,
05286294,12,2023,800940,2,1380.5000,
05286294,12,2023,900000,2,20166.6667,
05286294,12,2023,900180,2,375.0000,
05286294,12,2023,950004,2,3384.5833,
05286294,12,2023,950014,2,762.2500,
05286294,12,2023,980000,2,20541.6667,
05286294,12,2023,980010,2,0.1667,
05286294,12,2023,980020,2,4.9167,
05286294,12,2023,980030,2,0.1667,
05286294,12,2023,980040,2,0.2500,
05286294,12,2023,980071,2,16394.8333,
05286294,12,2023,980090,1,8.3333,
05286294,12,2023,980220,2,8.3333,
05286294,12,2023,980240,2,8.3333,
05286294,12,2023,980281,2,8.3333,
05286294,12,2023,980286,2,8.3333,
05286294,12,2023,980310,2,8.3333,
05286294,12,2023,980330,2,8.3333,
05286294,12,2023,980350,2,8.3333,
05286304,10,2023,005100,2,4166.6667,
05286304,10,2023,005110,2,4166.6667,
05286304,10,2023,900030,2,4529.6667,
05286304,10,2023,900170,2,279.4500,
05286304,10,2023,980000,2,4809.1167,
05286304,10,2023,980010,2,0.1667,
05286304,10,2023,980020,2,5.5833,
05286304,10,2023,980040,2,0.4167,
05286304,10,2023,980060,2,0.1667,
05286304,10,2023,980071,2,4809.1167,
05286304,10,2023,980090,1,8.3333,
05286304,10,2023,980210,2,8.3333,
05286304,10,2023,980240,2,8.3333,
05286304,10,2023,980281,2,8.3333,
05286304,10,2023,980286,2,8.3333,
05286304,10,2023,980310,2,8.3333,
05286304,10,2023,980330,2,8.3333,
05286304,10,2023,980350,2,8.3333,
05286304,11,2023,005100,2,4166.6667,
05286304,11,2023,005110,2,4166.6667,
05286304,11,2023,900030,2,4529.6667,
05286304,11,2023,900170,2,279.4500,
05286304,11,2023,980000,2,4809.1167,
05286304,11,2023,980010,2,0.1667,
05286304,11,2023,980020,2,5.5833,
05286304,11,2023,980040,2,0.4167,
05286304,11,2023,980060,2,0.1667,
05286304,11,2023,980071,2,4809.1167,
05286304,11,2023,980090,1,8.3333,
05286304,11,2023,980210,2,8.3333,
05286304,11,2023,980240,2,8.3333,
05286304,11,2023,980281,2,8.3333,
05286304,11,2023,980286,2,8.3333,
05286304,11,2023,980310,2,8.3333,
05286304,11,2023,980330,2,8.3333,
05286304,11,2023,980350,2,8.3333,
05286304,12,2023,005100,2,4166.6667,
05286304,12,2023,005110,2,4166.6667,
05286304,12,2023,900030,2,4529.6667,
05286304,12,2023,900170,2,279.4500,
05286304,12,2023,980000,2,4809.1167,
05286304,12,2023,980010,2,0.1667,
05286304,12,2023,980020,2,5.5833,
05286304,12,2023,980040,2,0.4167,
05286304,12,2023,980060,2,0.1667,
05286304,12,2023,980071,2,4809.1167,
05286304,12,2023,980090,1,8.3333,
05286304,12,2023,980210,2,8.3333,
05286304,12,2023,980240,2,8.3333,
05286304,12,2023,980281,2,8.3333,
05286304,12,2023,980286,2,8.3333,
05286304,12,2023,980310,2,8.3333,
05286304,12,2023,980330,2,8.3333,
05286304,12,2023,980350,2,8.3333,
05286334,10,2023,005200,2,24166.6667,
05286334,10,2023,005210,2,23750.0000,
05286334,10,2023,005600,2,666.6667,
05286334,10,2023,005610,2,1250.0000,
05286334,10,2023,005620,2,73.0000,
05286334,10,2023,005800,2,1202.0833,
05286334,10,2023,005810,2,1250.0000,
05286334,10,2023,800940,2,2446.0052,T
05286334,10,2023,900000,2,51438.0040,T
05286334,10,2023,900180,2,8430.8689,T
05286334,10,2023,950004,2,15898.6667,
05286334,10,2023,950014,2,4971.1667,
05286334,10,2023,980000,2,59868.8729,T
05286334,10,2023,980010,2,0.1667,
05286334,10,2023,980020,2,4.4167,
05286334,10,2023,980030,2,0.1667,
05286334,10,2023,980040,2,0.1667,
05286334,10,2023,980071,2,38999.0417,T
