QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH
20241,05288334,1,0,1,620,D,1,D,11,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288334,2,0,1,230,D,1,D,12,D,69,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288334,3,0,1,230,D,1,D,12,D,129,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288334,4,0,1,700,D,1,D,12,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288354,2,0,1,230,D,1,D,12,D,96,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288494,1,0,1,230,D,3,D,12,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288544,1,0,1,700,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288624,1,0,1,365,D,1,D,11,D,472,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,2
20241,05288664,1,0,1,260,D,1,D,11,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288704,1,0,1,390,D,1,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288714,1,0,1,640,D,1,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
20241,05288744,1,0,1,470,D,1,D,12,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288744,2,0,1,540,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288764,1,0,1,240,D,1,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05288884,1,0,1,240,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05288894,1,0,1,230,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288944,1,0,1,640,D,1,D,10,D,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,
