NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05838912,9,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,65,D,20251
05838952,17,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,40,D,20251
05838952,18,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,16,D,20251
05838972,15,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,50,D,20251
05839022,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,42,D,20251
05839022,14,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,,A,50,D,20251
05839022,15,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20251
05839022,16,0,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,50,D,20251
05839352,12,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,300,D,20251
05839382,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,65,D,20251
05839382,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,85,D,20251
05839382,10,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20251
05839432,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,80,D,20251
05839502,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,170,D,20251
05839502,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,160,D,20251
05839542,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20251
05839542,10,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,,A,185,D,20251
05839542,11,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,11,D,,A,180,D,20251
05839542,12,0,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,376,D,20251
05839712,20,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,12,D,1,D,100,D,20251
