ALCNO,CHIP,CHIPCOV,CHIPCOV_,CHIPPRMX,CHIP_,CHIP_RMX,CHXCHNG,CHXCHNG_,IHS,IHSCOV,IHSCOV_,IHS_,JCHIPQVX,JCHI_QVX,JMDCDQVX,JMDC_QVX,MDCDCOV,MDCDCOV_,MDCDPRMX,MDCD_RMX,MEDICAID,MEDI_AID,MEDPREM,MEDPREM_,MILITARY,MILI_ARY,MILMAN,MILMAN_,MILOTCOV,MILOTHR,MILOTHR_,MILOTSTL,MILO_COV,MILO_STL,MILSPC1,MILSPC1_,MILSPC2,MILSPC2_,MILSPC3,MILSPC3_,MILSPC4,MILSPC4_,MILVACOV,MILVASTL,MILV_COV,MILV_STL,MXCHNG,MXCHNG_,NEWID,QTRIRPMX,QTRI_PMX,RECTYPE,REC_ORIG,REC_STAT,SEQNO,STRFPRM1,STRF_RM1,TRIANYPD,TRIA_YPD,TRICRSTL,TRIC_STL,TRIIRGXB,TRII_GXB,TRILSTTM,TRIL_TTM,TRIRPMPD,TRIRPMXB,TRIR_MPD,TRIR_MXB,QYEAR,TRICOV,TRICOV_
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05568182,,A,HHM,5,1,11,,A,,A,1,D,,A,,A,,,A,A,20241,2,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05568562,,A,HHM,5,1,8,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05568662,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05568752,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05568842,,A,HHM,5,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05568952,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,1,1,D,,D,A,1,D,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05569202,,A,HHM,1,1,5,2,D,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05569212,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05569362,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,1,D,3,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,1,D,05569372,,A,HHM,5,1,6,,A,,A,1,D,,A,,A,,,A,A,20241,1,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05569382,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05569612,,A,HHM,1,1,10,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05569924,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05570082,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05570282,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05570442,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05570562,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05570882,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05570922,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05570982,,A,HHM,1,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05571022,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05571082,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05571182,195,D,HHM,1,1,10,,A,,A,,A,,A,,A,02,30,D,D,20241,2,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05571302,,A,HHM,1,1,8,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05571312,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05571322,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,531,D,2,D,177,D,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05571422,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05571632,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05571972,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05572042,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,,A,05572112,,A,HHM,1,1,10,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,1,D,D,,A,05572252,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05572572,,A,HHM,5,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05572584,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,C,05572782,,A,HHM,5,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,2,,D,A,,A,05572922,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05573012,,A,HHM,5,1,31,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,,A,05573681,,A,HHM,1,1,9,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05573801,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05573841,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,8,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05573891,,A,HHM,1,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05574191,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05574571,,A,HHM,1,1,10,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,1,3,D,,D,A,1,D,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05574651,,A,HHM,1,1,6,2,D,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,,A,05574871,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,1,3,D,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05574881,,A,HHM,1,1,11,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05574991,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05575111,,A,HHM,1,1,14,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,1,D,05575411,,A,HHM,1,1,9,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05575421,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05575521,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,4,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05575911,,A,HHM,1,1,12,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,,A,05575951,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,1,,D,A,,A,05576051,,A,HHM,1,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,3,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05576121,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05576204,,A,HHM,1,1,9,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05576421,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05576591,,A,HHM,1,1,6,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,,2,D,,A,A,2,D,,A,,A,,A,2,,D,A,,A,05576701,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05576793,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05576921,,A,HHM,1,1,12,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05576991,,A,HHM,1,1,7,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,1,1,D,,D,A,1,D,2,,A,D,,A,,A,2,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05577131,,A,HHM,1,1,8,2,D,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05577242,,A,HHM,1,1,4,,A,,A,,A,,A,,A,,,A,A,20241,,A
