QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20242,05541983,69,0,1,2,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05544773,24,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05547263,44,0,1,1,D,400,D,500,D,,A,,A,,A,,A,,A,,A,500,D,,A
20242,05547403,44,0,1,4,D,1479,G,168,G,,A,,A,1,D,1,D,2,D,1,D,553,G,,A
20242,05547703,10,0,1,2,D,172,D,20,D,,A,,A,,A,,A,,A,,A,20,D,,A
20242,05555523,23,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20242,05557393,42,0,1,2,D,330,D,,A,10,D,,A,,A,,A,,A,,A,200,D,30,D
20242,05558623,24,0,1,11,D,,A,,A,,A,,A,,A,,A,,A,,A,40,D,40,D
20242,05559093,36,0,1,1,D,610,D,25,D,,A,,A,,A,,A,,A,,A,325,D,,A
20242,05561363,39,0,1,1,D,96,D,,A,,A,,A,,A,,A,,A,,A,,A,36,D
20242,05562723,17,0,1,5,D,500,D,,A,,A,,A,,A,,A,,A,,A,300,F,,A
20242,05565773,27,0,1,3,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05567373,47,0,1,2,D,500,D,30,D,,A,,A,,A,,A,,A,,A,570,D,,A
20242,05572373,23,0,1,2,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05576722,31,0,1,2,D,125,D,20,D,,A,,A,,A,,A,,A,,A,80,D,,A
20242,05577392,38,0,1,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05579202,27,0,1,21,D,425,D,,A,,A,,A,,A,,A,,A,,A,700,D,,A
20242,05581782,42,0,1,1,D,200,D,,A,,A,80,D,,A,,A,,A,,A,500,D,,A
20242,05581792,40,0,1,2,D,700,D,60,D,,A,,A,,A,,A,,A,,A,240,D,,A
20242,05584862,40,0,1,1,D,400,D,,A,375,D,400,D,,A,,A,,A,,A,200,D,25,D
20242,05588572,42,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20242,05589382,26,0,1,1,D,165,D,50,D,,A,,A,,A,,A,,A,,A,50,D,250,D
20242,05590262,20,0,1,2,D,300,D,15,D,,A,,A,,A,,A,,A,,A,185,D,50,D
20242,05590642,36,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,111,D,,A
20242,05591052,32,0,1,1,D,,A,,A,,A,40,D,,A,,A,,A,,A,1000,D,,A
20242,05591242,19,0,1,1,D,250,D,80,D,,A,,A,,A,,A,,A,,A,120,D,,A
20242,05592002,27,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20242,05593642,53,0,1,1,D,200,D,,A,50,D,,A,,A,,A,,A,,A,,A,0,D
20242,05593792,11,0,1,1,D,126,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05594672,42,0,1,1,D,,A,150,D,,A,,A,,A,,A,,A,,A,0,D,,A
20242,05598532,62,0,1,2,D,,A,,A,,A,,A,,A,,A,,A,,A,75,D,,A
20242,05599942,29,0,1,2,D,693,F,150,D,,A,,A,,A,,A,,A,,A,550,D,,A
20242,05599942,30,0,1,3,D,500,D,200,D,,A,,A,,A,,A,,A,,A,600,D,,A
20242,05600452,60,0,1,1,D,166,D,,A,,A,,A,,A,,A,,A,,A,36,D,,A
20242,05601702,22,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,150,D,60,D
20242,05602072,41,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20242,05602092,38,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20242,05603472,36,0,1,1,D,175,D,40,D,,A,,A,,A,,A,,A,,A,70,D,,A
20242,05607562,12,0,1,1,D,,A,20,D,,A,,A,,A,,A,,A,,A,83,D,,A
20242,05607882,14,0,1,4,D,688,G,173,G,,A,,A,1,D,1,D,2,D,2,D,239,G,,A
20242,05655281,31,0,1,1,D,,A,1,G,,A,21,D,,A,,A,,A,,A,29,G,1,G
20242,05656791,19,0,1,3,D,,A,,A,,A,400,D,,A,,A,,A,,A,200,D,,A
20242,05658701,39,0,1,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,30,D
20242,05659771,25,0,1,2,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20242,05661721,33,0,1,6,D,1000,D,50,D,,A,,A,,A,,A,,A,,A,450,D,50,D
20242,05661741,19,0,1,1,D,40,D,60,D,,A,,A,,A,,A,,A,,A,20,D,,A
20242,05666521,26,0,1,1,D,,A,,A,,A,300,D,,A,,A,,A,,A,100,D,35,D
20242,05666751,22,0,1,3,D,376,D,,A,50,D,,A,,A,,A,,A,,A,,A,200,D
20242,05667941,33,0,1,2,D,180,D,30,D,,A,,A,,A,,A,,A,,A,90,D,,A
20242,05670071,56,0,1,1,D,120,D,16,D,,A,,A,,A,,A,,A,,A,84,D,,A
20242,05670901,16,0,1,1,D,161,G,19,G,,A,51,G,1,D,1,D,1,D,2,D,69,G,,A
20242,05672251,50,0,1,2,D,380,D,18,D,,A,16,D,,A,,A,,A,,A,108,D,,A
20242,05675471,17,0,1,2,D,150,D,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20242,05676621,37,0,1,3,D,400,D,100,D,,A,,A,,A,,A,,A,,A,400,D,50,D
20242,05679411,21,0,1,3,D,348,D,,A,30,D,60,D,,A,,A,,A,,A,200,D,20,D
