QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20241,05290144,21,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290194,33,0,5,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,8300,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20241,05290234,20,0,5,01,D,100,D,,A,3,D,,B,2021,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290244,33,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,20889,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290244,34,0,5,02,D,300,D,,A,3,D,,B,2004,D,,A,,A,,A,6000,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05290254,34,0,5,01,D,100,D,,A,3,D,,B,1976,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290264,14,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290304,15,0,5,01,D,100,D,,A,3,D,,B,1988,D,,A,,A,,A,700,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290384,14,0,5,01,D,100,D,,A,3,D,,B,2012,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290414,59,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,4900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05290424,23,0,5,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
