QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20244,05590054,33,0,5,01,D,100,D,.0609,D,64803,D,15,D,550,D,,A,,A,,A,,A,0,D,245,D,246,D,247,D,305,D,304,D,303,D,,A,12,D,2022,D,1,D,,A,60161,D,59916,D,59670,D,01,D,,A,,A,,A,,A,,A,,A,,C,,C
20244,05590424,27,0,5,01,D,100,D,.0775,F,29216,F,15,F,275,F,,A,,A,,A,,A,0,F,92,F,93,F,93,F,183,F,182,F,182,F,,A,09,F,2023,F,1,F,,A,28327,F,28235,F,28143,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05591104,17,0,5,01,D,100,D,.0849,F,30000,F,15,F,306,F,,A,,A,,A,,A,11,F,163,F,164,F,165,F,132,F,131,F,130,F,,A,09,F,2016,F,1,F,,A,18683,F,18520,F,18356,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05591184,18,0,5,01,D,100,D,.0790,D,67000,D,20,D,675,D,,A,,A,,A,,A,119,D,,A,115,D,116,D,,A,441,D,440,D,,A,09,D,2024,D,1,D,,A,,A,67000,D,66885,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05592784,24,0,5,01,D,100,D,.0910,D,40000,D,10,D,509,D,,A,,A,,A,,A,0,D,206,D,207,D,209,D,303,D,302,D,300,D,,A,08,D,2024,D,1,D,,A,40000,D,39794,D,39587,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05595624,29,0,5,01,D,100,D,.0550,D,250000,D,5,D,5404,T,,A,,A,,A,,A,0,D,,A,,A,,A,,A,,A,,A,,A,06,D,2022,D,2,D,,A,150024,D,145936,D,141830,D,01,D,1,D,,A,,A,,C,,C,,C,1,D,2,D
20244,05597684,56,0,5,01,D,100,D,.0644,D,43663,D,20,D,324,D,,A,,A,,A,,A,0,D,100,D,100,D,101,D,224,D,224,D,223,D,,A,01,D,2023,D,1,D,,A,41775,D,41675,D,41575,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05600094,29,0,5,01,D,100,D,.0440,F,150000,F,15,F,1200,F,,A,,A,,A,,A,60,F,851,F,854,F,857,F,289,F,286,F,283,F,,A,03,F,2016,F,1,F,,A,78886,F,78036,F,77182,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05606034,25,0,5,01,D,100,D,.0747,D,421178,T,5,D,5404,T,,A,,A,,A,,A,0,D,2150,T,2188,T,2264,T,2672,D,2656,D,2639,D,,A,01,D,2024,D,2,D,,A,325646,T,341686,T,339622,T,01,D,,A,,A,3,D,0,D,0,D,1966,T,,C,,C
20244,05607034,21,0,5,01,D,100,D,.0550,F,49934,F,15,F,408,F,,A,,A,,A,,A,0,F,239,F,240,F,241,F,169,F,168,F,167,F,,A,05,F,2019,F,1,F,,A,36885,F,36646,F,36406,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05655313,8,0,5,01,D,100,D,.0790,F,67000,F,20,F,675,F,,A,,A,,A,,A,119,F,,A,115,F,116,F,,A,441,F,440,F,,A,09,F,2024,F,1,F,,A,,A,67000,F,66885,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20244,05657503,23,0,5,01,D,100,D,.0875,D,100000,D,8,D,1452,D,,A,,A,,A,,A,0,D,766,D,772,D,777,D,686,D,680,D,675,D,,A,11,D,2023,D,1,D,,A,94068,D,93301,D,92530,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
