QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05287954,14,0,1,520,D,1,D,50,D,12,D,
20241,05288104,23,0,1,150,D,1,D,104,D,12,D,
20241,05288114,22,0,1,100,D,1,D,90,D,13,D,
20241,05288114,23,0,1,370,D,1,D,100,D,12,D,
20241,05288174,17,0,1,355,D,1,D,20,D,13,D,
20241,05288184,25,0,1,840,D,1,D,10,D,11,D,
20241,05288214,31,0,1,840,D,1,D,60,D,11,D,
20241,05288214,32,0,1,355,D,1,D,13,D,13,D,
20241,05288264,26,0,1,100,D,1,D,85,D,13,D,2
20241,05288264,27,0,1,830,D,1,D,280,D,13,D,
20241,05288264,28,0,1,100,D,1,D,60,D,13,D,
20241,05288264,29,0,1,330,D,1,D,5,D,13,D,
20241,05288264,30,0,1,355,D,1,D,75,D,13,D,
20241,05288334,14,0,1,520,D,1,D,18,D,12,D,
20241,05288354,40,0,1,210,D,2,D,225,D,12,D,2
20241,05288354,41,0,1,700,D,1,D,14,D,13,D,
20241,05288354,42,0,1,320,D,1,D,89,D,12,D,
20241,05288404,22,0,1,355,D,1,D,22,D,13,D,
20241,05288404,23,0,1,355,D,1,D,6,D,13,D,
20241,05288404,24,0,1,840,D,1,D,16,D,13,D,
20241,05288494,26,0,1,520,D,1,D,18,D,11,D,
20241,05288494,27,0,1,355,D,1,D,17,D,13,D,
20241,05288494,28,0,1,330,D,1,D,11,D,13,D,
20241,05288544,32,0,1,840,D,1,D,12,D,13,D,
20241,05288544,33,0,1,520,D,1,D,40,D,12,D,
20241,05288544,34,0,1,210,D,1,D,15,D,13,D,
20241,05288544,35,0,1,355,D,1,D,50,D,13,D,
20241,05288604,17,0,1,840,D,1,D,5,D,13,D,2
20241,05288664,34,0,1,700,D,1,D,8,D,13,D,
20241,05288664,35,0,1,355,D,1,D,10,D,13,D,
20241,05288674,37,0,1,700,D,1,D,25,D,13,D,
20241,05288674,38,0,1,355,D,1,D,21,D,13,D,
