QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20241,05417023,17,4,1,,A,4,E,170,D
20241,05417023,17,5,1,,A,85,E,180,D
20241,05417023,17,6,1,,A,97,E,190,D
20241,05417243,32,0,1,1,D,,H,,A
20241,05417243,32,1,1,,A,233,E,100,D
20241,05417243,32,2,1,,A,55,E,110,D
20241,05417243,32,3,1,,A,95,E,120,D
20241,05417243,32,4,1,,A,7,E,140,D
20241,05417243,32,5,1,,A,763,E,150,D
20241,05417243,32,6,1,,A,19,E,160,D
20241,05417243,32,7,1,,A,18,E,170,D
20241,05417243,32,8,1,,A,40,E,190,D
20241,05417853,99,0,1,6,D,,H,,A
20241,05417853,99,1,1,,A,116,E,100,D
20241,05417853,99,2,1,,A,23,E,110,D
20241,05417853,99,3,1,,A,17,E,120,D
20241,05417853,99,4,1,,A,354,E,130,D
20241,05417853,99,5,1,,A,7,E,140,D
20241,05417853,99,6,1,,A,328,E,150,D
20241,05417853,99,7,1,,A,81,E,160,D
20241,05417853,99,8,1,,A,31,E,170,D
20241,05417853,99,9,1,,A,43,E,190,D
20241,05418163,46,0,1,1,D,,H,,A
20241,05418163,46,1,1,,A,12,E,100,D
20241,05418163,46,2,1,,A,2,E,110,D
20241,05418973,25,0,1,1,D,,H,,A
20241,05418973,25,1,1,,A,36,E,100,D
20241,05418973,25,2,1,,A,8,E,110,D
20241,05418973,25,3,1,,A,15,E,120,D
20241,05418973,25,4,1,,A,91,E,130,D
20241,05418973,25,5,1,,A,1,E,140,D
20241,05418973,25,6,1,,A,122,E,150,D
20241,05418973,25,7,1,,A,3,E,160,D
20241,05418973,25,8,1,,A,3,E,170,D
20241,05418973,25,9,1,,A,6,E,190,D
20241,05418973,25,10,1,,A,15,E,210,D
20241,05419763,20,0,1,1,D,,H,,A
20241,05419763,20,1,1,,A,120,E,100,D
20241,05419763,20,2,1,,A,25,E,110,D
20241,05419763,20,3,1,,A,18,E,120,D
20241,05419763,20,4,1,,A,380,E,130,D
20241,05419763,20,5,1,,A,8,E,140,D
20241,05419763,20,6,1,,A,352,E,150,D
20241,05419763,20,7,1,,A,88,E,160,D
20241,05419763,20,8,1,,A,33,E,170,D
20241,05419763,20,9,1,,A,47,E,190,D
20241,05419763,20,10,1,,A,53,E,210,D
20241,05419763,20,11,1,,A,76,E,220,D
20241,05420943,7,0,1,1,D,,H,,A
20241,05420943,7,1,1,,A,11,E,210,D
20241,05420943,7,2,1,,A,19,E,220,D
20241,05421133,35,0,1,1,D,,H,,A
20241,05421133,35,1,1,,A,109,E,100,D
20241,05421133,35,2,1,,A,24,E,110,D
20241,05421133,35,3,1,,A,300,E,130,D
20241,05421803,22,0,1,2,D,,H,,A
20241,05421803,22,1,1,,A,71,E,100,D
