QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20241,05436983,2,40,0,1,,A,,A,164,F
20241,05436983,3,41,0,1,,A,,A,164,F
20241,05437063,1,10,0,1,2,D,,A,455,D
20241,05438443,1,47,0,1,1,D,1,D,78,D
20241,05438953,1,31,0,1,1,D,5,D,910,D
20241,05439233,1,7,0,1,3,D,,A,330,D
20241,05439453,1,23,0,1,2,D,,A,325,D
20241,05439453,2,24,0,1,1,D,5,D,390,D
20241,05439593,1,12,0,1,7,D,,A,78,D
20241,05439743,2,26,0,1,3,D,,A,108,D
20241,05439943,1,29,0,1,4,D,,A,17,D
20241,05439943,2,30,0,1,4,D,,A,17,D
20241,05440203,1,6,0,1,,A,,A,164,F
20241,05440923,1,6,0,1,4,D,,A,40,D
20241,05442583,1,15,0,1,4,D,,A,10,D
20241,05443393,1,12,0,1,3,D,,A,96,D
20241,05443543,1,8,0,1,3,D,,A,240,D
20241,05443543,2,9,0,1,3,D,,A,210,D
20241,05443543,3,10,0,1,3,D,,A,210,D
20241,05444693,1,4,0,1,3,D,,A,300,D
20241,05445663,1,23,0,1,3,D,,A,255,D
20241,05445803,4,21,0,1,2,D,,A,624,D
20241,05445983,2,28,0,1,3,D,,A,300,D
20241,05446203,1,14,0,1,2,D,,A,260,D
20241,05538182,1,19,0,1,3,D,,A,225,D
20241,05538982,1,22,0,1,7,D,,A,10,D
20241,05538982,2,23,0,1,7,D,,A,10,D
20241,05539052,1,15,0,1,2,D,,A,65,D
20241,05539052,2,16,0,1,2,D,,A,65,D
20241,05539792,1,21,0,1,4,D,,A,30,D
20241,05539792,2,22,0,1,4,D,,A,30,D
20241,05539792,3,23,0,1,4,D,,A,30,D
20241,05540302,1,12,0,1,1,D,5,D,390,D
20241,05540592,1,6,0,1,1,D,5,D,195,D
20241,05541622,1,40,0,1,7,D,,A,36,D
20241,05541622,2,41,0,1,7,D,,A,36,D
20241,05541692,1,43,0,1,3,D,,A,48,D
20241,05542072,31,47,0,1,4,D,,A,48,D
20241,05542452,1,30,0,1,7,D,,A,6,D
20241,05542622,1,26,0,1,3,D,,A,300,D
20241,05542662,1,10,0,1,3,D,,A,150,D
20241,05542782,1,42,0,1,7,D,,A,15,D
20241,05543222,1,8,0,1,3,D,,A,45,D
20241,05544462,1,42,0,1,,A,,A,164,F
20241,05544652,1,70,0,1,4,D,,A,50,D
20241,05545652,1,18,0,1,3,D,,A,36,D
20241,05546092,1,12,0,1,3,D,,A,150,D
20241,05546162,1,17,0,1,3,D,,A,120,D
20241,05546162,2,18,0,1,3,D,,A,120,D
20241,05546362,1,6,0,1,7,D,,A,10,D
20241,05546512,1,23,0,1,3,D,,A,90,D
20241,05546512,2,24,0,1,3,D,,A,60,D
20241,05546782,1,20,0,1,1,D,6,D,390,D
20241,05546822,1,47,0,1,7,D,,A,60,D
20241,05546822,2,48,0,1,7,D,,A,60,D
20241,05546822,31,49,0,1,7,D,,A,60,D
20241,05547382,1,53,0,1,7,D,,A,50,D
20241,05547382,2,54,0,1,,A,,A,154,F
20241,05547382,3,55,0,1,,A,,A,154,F
20241,05547552,1,6,0,1,3,D,,A,240,D
20241,05547692,1,10,0,1,3,D,,A,60,D
20241,05547692,4,11,0,1,3,D,,A,60,D
20241,05548022,7,25,0,1,1,D,5,D,975,D
20241,05548432,1,4,0,1,2,D,,A,325,D
20241,05548432,2,5,0,1,2,D,,A,325,D
20241,05548432,3,6,0,1,2,D,,A,325,D
20241,05548902,31,51,0,1,7,D,,A,35,D
20241,05549292,1,9,0,1,2,D,,A,130,D
20241,05549302,1,7,0,1,3,D,,A,240,D
20241,05549362,2,40,0,1,7,D,,A,25,D
20241,05549362,3,41,0,1,7,D,,A,25,D
20241,05549822,1,39,0,1,3,D,,A,90,D
20241,05549822,2,40,0,1,3,D,,A,90,D
20241,05550102,1,27,0,1,4,D,,A,210,D
20241,05550612,2,45,0,1,3,D,,A,120,D
20241,05550872,1,14,0,1,3,D,,A,210,D
20241,05551602,1,24,0,1,7,D,,A,170,D
20241,05551982,1,40,0,1,7,D,,A,40,D
20241,05552292,1,23,0,1,4,D,,A,30,D
20241,05552902,1,12,0,1,3,D,,A,9,D
20241,05552942,1,22,0,1,7,D,,A,30,D
20241,05552962,5,26,0,1,3,D,,A,1050,D
20241,05553432,1,9,0,1,4,D,,A,56,D
20241,05553683,1,15,0,1,2,D,,A,26,D
20241,05555082,1,27,0,1,3,D,,A,24,D
20241,05555382,1,6,0,1,3,D,,A,12,D
20241,05555382,2,7,0,1,3,D,,A,12,D
20241,05556412,1,18,0,1,2,D,,A,260,D
20241,05556782,1,11,0,1,2,D,,A,442,D
20241,05556924,1,25,0,1,3,D,,A,300,D
20241,05556924,2,26,0,1,3,D,,A,450,D
20241,05556924,3,27,0,1,3,D,,A,45,D
20241,05556924,4,28,0,1,3,D,,A,150,D
20241,05557232,1,11,0,1,3,D,,A,90,D
20241,05557562,1,15,0,1,3,D,,A,150,D
20241,05557562,2,16,0,1,3,D,,A,150,D
20241,05557872,1,72,0,1,7,D,,A,5,D
20241,05557872,2,73,0,1,7,D,,A,5,D
20241,05557872,3,74,0,1,7,D,,A,5,D
20241,05557872,4,75,0,1,7,D,,A,5,D
20241,05557872,5,76,0,1,7,D,,A,5,D
20241,05558232,1,7,0,1,2,D,,A,104,D
20241,05558922,1,28,0,1,3,D,,A,120,D
20241,05559012,1,16,0,1,3,D,,A,402,D
20241,05560112,1,5,0,1,2,D,,A,195,D
20241,05560342,1,5,0,1,4,D,,A,120,D
20241,05560542,1,6,0,1,2,D,,A,390,D
20241,05561462,1,27,0,1,5,D,,A,30,D
20241,05561632,1,13,0,1,3,D,,A,204,D
20241,05561632,2,14,0,1,3,D,,A,30,D
20241,05561832,1,38,0,1,4,D,,A,250,D
20241,05561872,1,5,0,1,,A,,A,182,F
20241,05561872,2,6,0,1,,A,,A,182,F
20241,05561892,1,32,0,1,3,D,,A,15,D
20241,05561892,2,33,0,1,3,D,,A,15,D
20241,05562422,1,18,0,1,2,D,,A,195,D
20241,05562422,3,19,0,1,2,D,,A,195,D
20241,05562482,1,12,0,1,3,D,,A,219,D
20241,05562882,1,17,0,1,7,D,,A,3,D
20241,05563172,1,23,0,1,,A,,A,164,F
20241,05563992,2,44,0,1,2,D,,A,312,D
20241,05564222,1,13,0,1,4,D,,A,20,D
20241,05565072,1,15,0,1,4,D,,A,10,D
20241,05565292,1,6,0,1,3,D,,A,90,D
20241,05565732,1,12,0,1,2,D,,A,325,D
20241,05565732,2,13,0,1,2,D,,A,195,D
20241,05565732,3,14,0,1,2,D,,A,195,D
20241,05565772,1,14,0,1,4,D,,A,400,D
20241,05565942,1,38,0,1,7,D,,A,20,D
20241,05567392,1,24,0,1,3,D,,A,90,D
20241,05567392,2,25,0,1,3,D,,A,30,D
20241,05567612,1,6,0,1,2,D,,A,416,D
20241,05568572,4,38,0,1,7,D,,A,5,D
20241,05568662,1,13,0,1,3,D,,A,36,D
20241,05569212,1,7,0,1,,A,,A,182,F
20241,05569272,1,21,0,1,3,D,,A,93,D
20241,05569382,1,6,0,1,1,D,2,D,156,D
20241,05569612,1,14,0,1,2,D,,A,247,D
20241,05569612,2,15,0,1,2,D,,A,195,D
20241,05570042,1,7,0,1,2,D,,A,65,D
20241,05570152,2,33,0,1,7,D,,A,300,D
20241,05570414,1,33,0,1,7,D,,A,600,D
20241,05570702,1,18,0,1,3,D,,A,300,D
20241,05570702,3,19,0,1,3,D,,A,150,D
20241,05570922,1,6,0,1,6,D,,A,200,D
20241,05571082,1,10,0,1,4,D,,A,100,D
20241,05571542,1,77,0,1,7,D,,A,26,D
20241,05572722,1,36,0,1,7,D,,A,200,D
20241,05572762,2,24,0,1,2,D,,A,52,D
20241,05573472,2,43,0,1,,A,,A,154,F
20241,05573891,3,6,0,1,3,D,,A,42,D
20241,05573891,4,7,0,1,3,D,,A,42,D
20241,05574321,2,31,0,1,2,D,,A,221,D
20241,05574471,2,24,0,1,7,D,,A,90,D
20241,05574641,1,45,0,1,3,D,,A,174,D
20241,05575091,2,19,0,1,,A,,A,208,F
20241,05575521,1,5,0,1,1,D,3,D,39,D
20241,05575521,2,6,0,1,1,D,3,D,39,D
20241,05576021,1,13,0,1,2,D,,A,338,D
20241,05576271,1,30,0,1,4,D,,A,240,D
20241,05576774,1,5,0,1,2,D,,A,130,D
20241,05577151,1,14,0,1,4,D,,A,50,D
20241,05577251,1,13,0,1,3,D,,A,300,D
20241,05577811,2,12,0,1,3,D,,A,150,D
20241,05578651,1,15,0,1,2,D,,A,546,D
20241,05578651,2,16,0,1,2,D,,A,546,D
20241,05579031,1,35,0,1,1,D,2,D,156,D
20241,05579031,2,36,0,1,1,D,2,D,156,D
20241,05579031,3,37,0,1,1,D,2,D,104,D
20241,05579031,4,38,0,1,1,D,2,D,104,D
20241,05579031,5,39,0,1,,A,,A,208,F
20241,05579721,2,14,0,1,7,D,,A,130,D
20241,05580281,1,7,0,1,7,D,,A,38,D
20241,05580501,1,24,0,1,7,D,,A,32,D
20241,05580651,1,9,0,1,3,D,,A,150,D
20241,05580771,1,50,0,1,3,D,,A,111,D
20241,05580991,2,31,0,1,3,D,,A,900,D
20241,05581441,1,21,0,1,7,D,,A,100,D
20241,05581441,2,22,0,1,7,D,,A,100,D
20241,05581681,1,29,0,1,7,D,,A,5,D
20241,05581711,2,21,0,1,3,D,,A,180,D
20241,05582711,1,27,0,1,2,D,,A,65,D
20241,05582711,2,28,0,1,2,D,,A,65,D
20241,05583331,1,20,0,1,2,D,,A,312,D
20241,05583511,1,30,0,1,4,D,,A,6,D
20241,05583511,4,31,0,1,4,D,,A,20,D
20241,05583531,1,8,0,1,4,D,,A,40,D
20241,05583601,1,16,0,1,7,D,,A,10,D
20241,05583601,2,17,0,1,7,D,,A,10,D
20241,05583611,1,31,0,1,,C,,A,154,F
20241,05583971,1,8,0,1,4,D,,A,10,D
20241,05584241,2,38,0,1,4,D,,A,100,D
20241,05584274,1,8,0,1,3,D,,A,168,D
20241,05584401,2,33,0,1,7,D,,A,5,D
20241,05584661,1,37,0,1,3,D,,A,360,D
20241,05584661,2,38,0,1,3,D,,A,360,D
20241,05584911,1,9,0,1,3,D,,A,168,D
20241,05584931,4,15,0,1,3,D,,A,105,D
20241,05585041,1,38,0,1,3,D,,A,120,D
20241,05585291,1,33,0,1,7,D,,A,10,D
20241,05585401,1,29,0,1,2,D,,A,455,D
20241,05585581,1,7,0,1,3,D,,A,75,D
20241,05585611,1,6,0,1,3,D,,A,60,D
20241,05585641,1,23,0,1,3,D,,A,30,D
20241,05586051,1,24,0,1,7,D,,A,70,D
20241,05586521,1,15,0,1,7,D,,A,5,D
20241,05586851,1,24,0,1,6,D,,A,25,D
20241,05587161,1,7,0,1,3,D,,A,396,D
20241,05587161,2,8,0,1,3,D,,A,396,D
20241,05587372,1,11,0,1,3,D,,A,150,D
20241,05587881,3,29,0,1,7,D,,A,13,D
20241,05587881,4,30,0,1,7,D,,A,13,D
20241,05588271,1,7,0,1,,A,,A,182,F
20241,05588401,2,14,0,1,3,D,,A,30,D
20241,05588841,1,28,0,1,4,D,,A,12,D
20241,05589261,1,22,0,1,7,D,,A,5,D
20241,05589261,2,23,0,1,7,D,,A,5,D
20241,05589331,1,10,0,1,3,D,,A,210,D
20241,05589431,1,20,0,1,3,D,,A,30,D
20241,05590891,1,23,0,1,7,D,,A,90,D
20241,05590891,2,24,0,1,7,D,,A,90,D
20241,05591051,1,21,0,1,3,D,,A,300,D
20241,05591311,1,31,0,1,3,D,,A,90,D
20241,05592281,1,16,0,1,2,D,,A,65,D
20241,05592301,31,26,0,1,4,D,,A,100,D
20241,05592411,1,11,0,1,2,D,,A,182,D
20241,05592471,2,25,0,1,3,D,,A,30,D
20241,05592831,1,12,0,1,3,D,,A,180,D
20241,05593061,2,12,0,1,6,D,,A,11,D
20241,05593061,3,13,0,1,6,D,,A,11,D
20241,05593171,1,9,0,1,3,D,,A,90,D
20241,05593791,1,10,0,1,3,D,,A,48,D
20241,05593831,1,14,0,1,3,D,,A,180,D
20241,05594901,1,23,0,1,3,D,,A,300,D
20241,05594901,2,24,0,1,3,D,,A,150,D
20241,05595711,1,7,0,1,2,D,,A,455,D
20241,05595711,2,8,0,1,2,D,,A,455,D
20241,05595791,1,30,0,1,1,D,2,D,78,D
20241,05596151,1,40,0,1,3,D,,A,15,D
