QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,SAMP_UN,SAMP_UN_,RTELECT,RTELECT_,RTGAS,RTGAS_,RTWATER,RTWATER_,RTHEAT,RTHEAT_,RTTRASH,RTTRASH_,RTASPAY,RTASPAY_,RTCOMPX,RTCOMPX_,RTBSNSZ,RTBSNSZ_,JRTPAYQV,JRTP_YQV,QRT3MCMX,RTTELEPH,QRT3_CMX,RTTE_EPH,RTTVCABL,RTTV_ABL,RTINTRNT,RTIN_RNT,RTFUNSH,RTFUNSH_,GOVTCOST,GOVT_OST,INCLBDS,INCLBDS_,INCLDRYR,INCL_RYR,INCLFRIG,INCL_RIG,INCLPDS,INCLPDS_,INCLSTOV,INCL_TOV,INCLWSHR,INCL_SHR,PUBLHOUS,PUBL_OUS,OWNED,OWNED_,RTPARK,RTPARK_
20241,05290734,12,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,2457,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D
20241,05290764,37,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3375,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20241,05290784,16,0,1,2,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,,A,,A
20241,05290964,14,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2250,2,D,D,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,B,2,D,2,D
20241,05291044,25,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,2550,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20241,05291124,23,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1377,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20241,05291214,9,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,450,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20241,05291584,13,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2925,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20241,05291664,14,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2544,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20241,05291714,32,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
