QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20241,05287834,20,0,1,510,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287994,13,0,1,420,D,1,D,12,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287994,14,0,1,620,D,1,D,10,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288104,13,0,1,620,D,1,D,10,D,79,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288104,14,0,1,620,D,1,D,11,D,102,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288104,15,0,1,620,D,1,D,12,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288114,9,0,1,620,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288124,13,0,1,420,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288124,14,0,1,620,D,1,D,13,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288174,10,0,1,620,D,1,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288184,17,0,1,200,D,1,D,11,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288184,18,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288214,18,0,1,120,D,1,D,12,D,58,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288214,19,0,1,420,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288214,20,0,1,420,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288214,21,0,1,510,D,1,D,11,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288214,22,0,1,510,D,1,D,12,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288214,23,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288264,18,0,1,420,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288354,22,0,1,110,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288354,23,0,1,620,D,1,D,11,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288354,24,0,2,620,D,1,D,10,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288404,14,0,1,200,D,1,D,11,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288404,15,0,1,410,D,1,D,11,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20241,05288404,16,0,1,510,D,1,D,11,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288494,15,0,1,420,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288544,20,0,1,200,D,1,D,11,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288604,11,0,1,620,D,1,D,10,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288604,12,0,1,620,D,1,D,10,D,430,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288664,20,0,1,120,D,1,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288674,19,0,1,620,D,1,D,13,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288694,14,0,1,620,D,1,D,13,D,77,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,19,0,1,620,D,1,D,10,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,20,0,1,620,D,1,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,21,0,1,620,D,1,D,12,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,22,0,1,530,D,1,D,10,D,106,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,23,0,1,530,D,1,D,11,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,24,0,1,530,D,1,D,12,D,213,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,25,0,1,520,D,1,D,10,D,2006,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,26,0,1,520,D,1,D,11,D,1815,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288704,27,0,2,530,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288714,10,0,1,200,D,1,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288714,11,0,1,420,D,1,D,11,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288714,12,0,1,620,D,1,D,11,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288764,14,0,1,420,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288764,15,0,1,620,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,22,0,1,200,D,1,D,10,D,126,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,23,0,1,200,D,1,D,11,D,248,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,24,0,1,900,D,1,D,12,D,,H,110,D,510,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,24,1,1,110,D,1,D,12,D,120,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,24,2,1,510,D,1,D,12,D,120,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,24,3,1,200,D,1,D,12,D,320,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,25,0,1,620,D,1,D,10,D,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,26,0,1,620,D,1,D,11,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,27,0,2,620,D,1,D,10,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288954,25,0,1,410,D,1,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05288954,26,0,1,410,D,1,D,13,D,105,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05288954,27,0,1,330,D,1,D,12,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288954,28,0,1,620,D,1,D,13,D,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289024,15,0,1,110,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289044,22,0,1,410,D,1,D,11,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05289044,23,0,1,620,D,1,D,13,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289064,20,0,1,620,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289154,12,0,1,420,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289154,13,0,1,620,D,1,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289204,13,0,2,620,D,1,D,10,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289224,5,0,1,620,D,1,D,13,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289264,5,0,1,120,D,1,D,10,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289334,9,0,1,420,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289334,10,0,1,620,D,1,D,13,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289444,17,0,1,620,D,1,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289494,30,0,1,110,D,1,D,11,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289574,16,0,1,200,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289694,11,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289764,21,0,1,120,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289764,22,0,1,120,D,1,D,11,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289764,23,0,1,120,D,1,D,10,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289764,24,0,2,120,D,1,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289764,25,0,2,420,D,1,D,10,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289774,16,0,1,410,D,1,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05289774,17,0,2,330,D,1,D,10,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289774,18,0,2,410,D,1,D,10,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05289774,19,0,2,420,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289774,20,0,2,620,D,1,D,10,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289854,10,0,2,200,D,1,D,10,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289854,11,0,2,110,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289864,17,0,1,330,D,1,D,12,D,1366,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289864,18,0,1,620,D,1,D,13,D,97,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289904,16,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289984,13,0,1,420,D,1,D,10,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290044,17,0,1,200,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290044,18,0,1,410,D,1,D,12,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05290054,9,0,2,620,D,1,D,10,D,46,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290144,18,0,1,620,D,1,D,10,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
