QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20241,05598101,4,0,1,190,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05598201,5,0,1,190,D,13,D,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05598251,2,0,1,190,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05598271,2,0,1,190,D,13,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05598411,10,0,1,220,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05598981,2,0,1,200,D,01,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599241,2,0,1,200,D,13,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599411,8,0,1,190,D,12,D,252,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599421,4,0,1,110,D,13,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599461,9,0,1,190,D,13,D,31,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599461,10,0,1,130,D,12,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599541,2,0,1,110,D,02,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05599881,5,0,1,110,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,1,A
20241,05600691,4,0,1,190,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05601491,3,0,1,200,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05601551,6,0,1,200,D,13,D,63,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05601551,7,0,1,190,D,12,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05601811,4,0,1,110,D,13,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05601811,5,0,1,190,D,01,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05601821,6,0,1,100,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602011,5,0,1,110,D,02,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602071,6,0,1,190,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602071,7,0,1,200,D,01,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602391,5,0,1,200,D,13,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602391,6,0,1,190,D,13,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602421,15,0,1,220,D,13,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602421,16,0,1,190,D,01,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05602511,3,0,1,190,D,13,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
