QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX,CHGPURCH
20241,05290054,18,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290094,39,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20241,05290104,19,0,1,180,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290144,37,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20241,05290184,22,0,1,105,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290194,44,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290234,35,0,1,375,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290244,58,0,1,552,D,,A,30,D,,A,10,D,,A,1,D,,2,D,1,10,D,,,A,A,A,D,
20241,05290254,63,0,1,1650,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290264,28,0,1,420,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290304,27,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290384,21,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290414,92,0,1,1050,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290424,44,0,1,600,D,,A,255,D,,A,85,D,,A,1,D,,2,D,1,85,D,,,A,A,A,D,
20241,05290444,18,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290504,24,0,1,90,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290514,53,0,1,105,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20241,05290524,34,0,1,525,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290534,55,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290544,21,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290554,18,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290624,25,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290644,23,0,1,135,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290704,48,0,1,219,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290714,12,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290734,20,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290754,36,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05290764,46,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
