QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20241,05349204,3,0,2,370,D,1,D,11,D,235,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05349344,1,0,1,380,D,1,D,12,D,4200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05349494,4,0,2,380,D,1,D,11,D,60,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05349584,1,0,1,380,D,1,D,01,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05349884,3,0,1,380,D,2,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05350474,2,0,1,120,D,1,D,01,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05350754,4,0,1,380,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05350774,1,0,1,380,D,2,D,01,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05350844,7,0,1,120,D,1,D,12,D,449,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05350844,8,0,1,380,D,1,D,01,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05351074,19,0,1,450,D,1,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05351474,3,0,1,380,D,2,D,12,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05351834,2,0,1,380,D,1,D,12,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05352284,2,0,1,470,D,2,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05352934,1,0,1,120,D,1,D,12,D,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05353274,3,0,1,450,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353274,4,0,2,470,D,1,D,11,D,252,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353284,2,0,1,380,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353284,3,0,1,470,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353334,7,0,1,380,D,1,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353334,8,0,1,380,D,2,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05353334,9,0,1,380,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
