QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20241,05344704,21,0,1,,2,D,,A,2,D,,A
20241,05344714,28,0,1,,2,D,,A,2,D,,A
20241,05344724,69,0,1,,2,D,,A,2,D,,A
20241,05344744,37,0,1,,2,D,,A,2,D,,A
20241,05344764,20,0,1,,2,D,,A,2,D,,A
20241,05344774,41,0,1,,2,D,,A,2,D,,A
20241,05344794,48,0,1,,2,D,,A,2,D,,A
20241,05344834,33,0,1,,2,D,,A,2,D,,A
20241,05344884,40,0,1,,2,D,,A,2,D,,A
20241,05344904,54,0,1,,2,D,,A,2,D,,A
20241,05344964,42,0,1,,2,D,,A,2,D,,A
20241,05344974,30,0,1,,2,D,,A,2,D,,A
20241,05345004,24,0,1,,2,D,,A,2,D,,A
20241,05345024,68,0,1,,2,D,,A,2,D,,A
20241,05345034,8,0,1,,2,D,,A,2,D,,A
20241,05345064,50,0,1,,2,D,,A,2,D,,A
20241,05345124,59,0,1,,2,D,,A,2,D,,A
20241,05345194,59,0,1,,2,D,,A,2,D,,A
20241,05345214,28,0,1,,2,D,,A,2,D,,A
20241,05345254,30,0,1,,2,D,,A,2,D,,A
20241,05345284,9,0,1,,2,D,,A,2,D,,A
20241,05345304,37,0,1,,2,D,,A,2,D,,A
20241,05345324,63,0,1,,2,D,,A,2,D,,A
20241,05345334,23,0,1,,2,D,,A,2,D,,A
20241,05345394,33,0,1,,2,D,,A,2,D,,A
20241,05345414,15,0,1,,2,D,,A,2,D,,A
20241,05345434,32,0,1,,2,D,,A,2,D,,A
20241,05345464,42,0,1,,2,D,,A,2,D,,A
20241,05345484,52,0,1,,2,D,,A,2,D,,A
20241,05345534,32,0,1,,2,D,,A,2,D,,A
20241,05345554,31,0,1,,2,D,,A,2,D,,A
20241,05345584,40,0,1,,2,D,,A,2,D,,A
20241,05345594,9,0,1,,2,D,,A,2,D,,A
20241,05345634,50,0,1,,2,D,,A,2,D,,A
20241,05345674,17,0,1,,2,D,,A,2,D,,A
20241,05345684,48,0,1,,2,D,,A,2,D,,A
20241,05345704,37,0,1,,2,D,,A,2,D,,A
20241,05345714,29,0,1,,2,D,,A,2,D,,A
20241,05345754,39,0,1,,2,D,,A,2,D,,A
20241,05345764,40,0,1,,2,D,,A,2,D,,A
20241,05345814,41,0,1,,2,D,,A,2,D,,A
20241,05345844,44,0,1,,2,D,,A,2,D,,A
20241,05345874,17,0,1,,2,D,,A,2,D,,A
20241,05345894,26,0,1,,2,D,,A,2,D,,A
20241,05345924,37,0,1,,2,D,,A,2,D,,A
20241,05345944,35,0,1,,2,D,,A,2,D,,A
20241,05345954,30,0,1,,2,D,,A,2,D,,A
20241,05345964,38,0,1,,2,D,,A,2,D,,A
20241,05345974,37,0,1,,2,D,,A,2,D,,A
20241,05346014,27,0,1,,2,D,,A,2,D,,A
20241,05346034,37,0,1,,2,D,,A,2,D,,A
20241,05346044,39,0,1,,2,D,,A,2,D,,A
20241,05346074,45,0,1,,2,D,,A,2,D,,A
20241,05346094,35,0,1,,2,D,,A,2,D,,A
20241,05346104,34,0,1,,2,D,,A,2,D,,A
20241,05346114,17,0,1,,2,D,,A,2,D,,A
20241,05346124,27,0,1,,2,D,,A,2,D,,A
20241,05346134,19,0,1,,2,D,,A,2,D,,A
20241,05346174,30,0,1,,2,D,,A,2,D,,A
20241,05346184,35,0,1,,2,D,,A,2,D,,A
20241,05346214,31,0,1,,2,D,,A,2,D,,A
20241,05346244,35,0,1,,2,D,,A,2,D,,A
20241,05346264,12,0,1,,2,D,,A,2,D,,A
20241,05346274,24,0,1,,2,D,,A,2,D,,A
20241,05346284,7,0,1,,2,D,,A,2,D,,A
20241,05346294,16,0,1,,2,D,,A,2,D,,A
20241,05346344,25,0,1,,2,D,,A,2,D,,A
20241,05346364,51,0,1,,2,D,,A,2,D,,A
20241,05346384,37,0,1,,2,D,,A,2,D,,A
20241,05346404,84,0,1,,2,D,,A,2,D,,A
20241,05346414,30,0,1,,2,D,,A,2,D,,A
20241,05346434,14,0,1,,2,D,,A,2,D,,A
20241,05346444,20,0,1,,2,D,,A,2,D,,A
20241,05346454,44,0,1,,2,D,,A,2,D,,A
20241,05346484,23,0,1,,2,D,,A,2,D,,A
20241,05346504,28,0,1,,2,D,,A,2,D,,A
20241,05346514,46,0,1,,2,D,,A,2,D,,A
20241,05346584,17,0,1,,2,D,,A,2,D,,A
20241,05346614,30,0,1,,2,D,,A,2,D,,A
20241,05346714,17,0,1,,2,D,,A,2,D,,A
20241,05346744,18,0,1,,2,D,,A,2,D,,A
20241,05346794,40,0,1,,2,D,,A,2,D,,A
20241,05346824,22,0,1,,2,D,,A,2,D,,A
20241,05346834,27,0,1,,2,D,,A,2,D,,A
20241,05346864,37,0,1,,2,D,,A,2,D,,A
20241,05346884,37,0,1,,2,D,,A,2,D,,A
20241,05346934,23,0,1,,2,D,,A,2,D,,A
20241,05346944,34,0,1,,2,D,,A,2,D,,A
