QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05289154,2,0,1,2,D,2,D,1040,D,260,D,910,D,,A,,A,100,D,,
20241,05289204,2,0,1,2,D,2,D,650,D,130,D,3250,D,,A,,A,0,D,,
20241,05289214,3,0,1,2,D,2,D,0,D,0,D,1300,D,,A,,A,0,D,,
20241,05289224,2,0,1,1,D,2,D,130,D,0,D,520,D,130,D,,A,0,D,,
20241,05289264,2,0,1,2,D,2,D,78,D,65,D,975,D,,A,,A,65,D,,
20241,05289334,3,0,1,2,D,2,D,0,D,0,D,2600,D,,A,,A,150,D,,
20241,05289444,3,0,1,2,D,2,D,1300,D,390,D,1300,D,,A,,A,300,D,,
20241,05289464,2,0,1,2,D,2,D,520,D,0,D,1664,D,,A,,A,0,D,,
20241,05289474,4,0,1,2,D,2,D,1625,D,0,D,3900,D,,A,,A,200,D,,
20241,05289494,12,0,1,2,D,2,D,130,D,0,D,1950,D,,A,,A,150,D,,
20241,05289564,3,0,1,2,D,2,D,3640,D,0,D,520,D,,A,,A,20,D,,
20241,05289574,7,0,1,2,D,2,D,260,D,0,D,910,D,,A,,A,0,D,,
20241,05289684,2,0,1,2,D,2,D,1950,D,0,D,2600,D,,A,,A,0,D,,
20241,05289694,2,0,1,2,D,2,D,1625,D,0,D,2262,D,,A,,A,0,D,,
20241,05289734,3,0,1,2,D,2,D,0,D,0,D,650,D,,A,,A,0,D,,
20241,05289764,2,0,1,2,D,2,D,1040,D,0,D,3900,D,,A,,A,250,D,,
20241,05289774,8,0,1,2,D,2,D,1300,D,0,D,1950,D,,A,,A,0,D,,
20241,05289854,2,0,1,2,D,2,D,1300,D,0,D,260,D,,A,,A,100,D,,
20241,05289864,5,0,1,2,D,2,D,195,D,0,D,650,D,,A,,A,0,D,,
20241,05289894,7,0,1,2,D,1,D,0,D,0,D,1950,D,,A,130,D,0,D,,
20241,05289904,2,0,1,2,D,2,D,390,D,0,D,1560,D,,A,,A,0,D,,
20241,05289984,4,0,1,2,D,2,D,325,D,0,D,780,D,,A,,A,0,D,,
20241,05290044,5,0,1,2,D,2,D,1300,D,650,D,1300,D,,A,,A,0,D,,
