QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20241,05294704,3,0,1,150,D,12,D,50,D
20241,05294774,3,0,1,170,D,11,D,100,D
20241,05294774,4,0,1,170,D,12,D,100,D
20241,05294834,2,0,1,150,D,13,D,100,D
20241,05294834,3,0,1,160,D,13,D,140,D
20241,05294864,6,0,1,170,D,12,D,100,D
20241,05294864,7,0,1,170,D,12,D,100,D
20241,05294864,8,0,1,160,D,13,D,20,D
20241,05294924,5,0,1,170,D,12,D,500,D
20241,05294944,3,0,1,150,D,13,D,20,D
20241,05294994,2,0,1,170,D,12,D,200,D
20241,05295014,2,0,1,150,D,13,D,40,D
20241,05295104,6,0,1,170,D,12,D,190,D
20241,05295104,7,0,1,130,D,10,D,50,D
20241,05295134,3,0,1,170,D,12,D,300,D
20241,05295214,3,0,1,100,D,13,D,100,D
20241,05295214,4,0,1,150,D,13,D,70,D
20241,05295344,2,0,1,170,D,12,D,200,D
20241,05295384,2,0,1,150,D,13,D,200,D
20241,05295414,13,0,1,170,D,12,D,50,D
20241,05295414,14,0,1,160,D,13,D,800,D
20241,05295474,5,0,1,170,D,13,D,100,D
20241,05295474,6,0,1,160,D,12,D,50,D
20241,05295514,2,0,1,170,D,12,D,500,D
20241,05295534,5,0,1,170,D,12,D,100,D
20241,05295534,6,0,1,170,D,13,D,10,D
20241,05295554,3,0,1,170,D,12,D,50,D
20241,05295564,14,0,1,150,D,11,D,25,D
20241,05295564,15,0,1,150,D,13,D,30,D
20241,05295624,2,0,1,150,D,13,D,50,D
20241,05295634,6,0,1,170,D,11,D,20,D
20241,05295734,4,0,1,170,D,12,D,100,D
20241,05295744,2,0,1,150,D,13,D,20,D
20241,05295774,6,0,1,170,D,11,D,20,D
20241,05295834,4,0,1,170,D,13,D,10,D
20241,05295834,5,0,1,160,D,13,D,20,D
20241,05295834,6,0,1,160,D,13,D,45,D
20241,05295924,2,0,1,160,D,13,D,15,D
20241,05295924,3,0,1,160,D,13,D,10,D
20241,05295974,3,0,1,130,D,11,D,1000,D
20241,05295974,4,0,1,160,D,11,D,31209,T
20241,05295984,2,0,1,160,D,12,D,300,D
20241,05295984,3,0,1,160,D,12,D,500,D
20241,05295994,2,0,1,150,D,13,D,260,D
20241,05296064,4,0,1,100,D,12,D,50,D
20241,05296064,5,0,1,160,D,13,D,200,D
20241,05296064,6,0,2,100,D,10,D,500,D
20241,05296104,2,0,1,160,D,10,D,25,D
20241,05296104,3,0,1,160,D,10,D,100,D
20241,05296104,4,0,1,160,D,11,D,20,D
20241,05296104,5,0,1,160,D,11,D,25,D
20241,05296214,2,0,1,110,D,13,D,400,D
20241,05296254,4,0,1,170,D,12,D,125,D
20241,05296254,5,0,1,150,D,13,D,175,D
20241,05296254,6,0,1,160,D,13,D,25,D
20241,05296264,3,0,1,160,D,13,D,30,D
20241,05296264,4,0,1,160,D,10,D,400,D
20241,05296264,5,0,1,160,D,11,D,150,D
20241,05296274,2,0,1,160,D,13,D,19,D
20241,05296314,2,0,1,170,D,12,D,100,D
20241,05296314,3,0,1,130,D,10,D,25,D
20241,05296324,2,0,1,170,D,11,D,500,D
20241,05296334,12,0,1,170,D,12,D,350,D
20241,05296334,13,0,1,170,D,12,D,25,D
20241,05296334,14,0,1,170,D,11,D,25,D
20241,05296334,15,0,1,150,D,13,D,2500,D
20241,05296334,16,0,2,170,D,10,D,40,D
20241,05296334,17,0,2,150,D,10,D,500,D
20241,05296334,18,0,2,150,D,10,D,500,D
20241,05296384,2,0,1,170,D,12,D,325,D
20241,05296384,3,0,1,150,D,13,D,250,D
20241,05296384,4,0,1,160,D,11,D,200,D
20241,05296384,5,0,1,160,D,11,D,250,D
20241,05296524,2,0,1,170,D,12,D,483,F
20241,05296584,4,0,1,170,D,13,D,100,D
20241,05296644,8,0,1,170,D,12,D,500,D
20241,05296644,9,0,1,130,D,12,D,200,D
20241,05296644,10,0,1,130,D,12,D,500,D
20241,05296644,11,0,1,160,D,12,D,50,D
20241,05296644,12,0,1,160,D,12,D,50,D
20241,05296644,13,0,1,160,D,12,D,50,D
20241,05296724,3,0,1,160,D,13,D,25,D
20241,05296724,4,0,1,160,D,11,D,25,D
20241,05296724,5,0,1,150,D,13,D,155,D
20241,05296734,4,0,1,150,D,13,D,600,D
20241,05296734,5,0,1,160,D,12,D,200,D
20241,05296774,4,0,1,170,D,13,D,400,D
20241,05296834,2,0,1,110,D,13,D,150,D
20241,05296894,16,0,1,170,D,10,D,15,D
20241,05296894,17,0,1,170,D,11,D,10,D
20241,05296894,18,0,1,150,D,13,D,300,D
20241,05296904,2,0,1,110,D,13,D,900,D
20241,05296944,8,0,1,170,D,12,D,500,D
20241,05296944,9,0,1,110,D,13,D,300,D
20241,05296944,10,0,1,120,D,13,D,1700,D
20241,05296944,11,0,1,130,D,12,D,2800,D
20241,05296944,12,0,1,160,D,12,D,31209,T
20241,05296944,13,0,2,170,D,10,D,500,D
20241,05296984,2,0,1,160,D,12,D,300,D
20241,05297024,5,0,1,170,D,12,D,300,D
20241,05297024,6,0,1,170,D,11,D,100,D
20241,05297024,7,0,1,170,D,10,D,200,D
20241,05297024,8,0,1,170,D,13,D,100,D
20241,05297024,9,0,1,160,D,13,D,20,D
20241,05297134,2,0,1,150,D,13,D,10,D
20241,05297164,2,0,1,170,D,12,D,50,D
20241,05297164,3,0,1,170,D,12,D,2100,D
20241,05297164,4,0,1,160,D,12,D,200,D
20241,05297274,2,0,1,170,D,10,D,100,D
20241,05297274,3,0,1,170,D,12,D,325,D
20241,05297374,3,0,1,170,D,12,D,175,D
20241,05297394,4,0,1,150,D,12,D,100,D
20241,05297404,4,0,1,110,D,13,D,120,D
20241,05297644,2,0,1,170,D,12,D,100,D
20241,05343864,4,0,1,150,D,13,D,700,D
20241,05343924,3,0,1,170,D,12,D,5000,D
20241,05343924,4,0,1,160,D,13,D,300,D
20241,05343964,3,0,1,160,D,13,D,50,D
20241,05343964,4,0,1,160,D,11,D,2000,D
20241,05343964,5,0,1,160,D,11,D,500,D
20241,05343964,6,0,1,160,D,12,D,250,D
20241,05344034,3,0,1,150,D,13,D,1000,D
20241,05344084,3,0,1,170,D,13,D,100,D
20241,05344084,4,0,1,150,D,13,D,350,D
20241,05344084,5,0,1,160,D,13,D,100,D
20241,05344164,2,0,1,170,D,12,D,100,D
20241,05344324,4,0,1,150,D,13,D,1360,D
20241,05344444,3,0,1,150,D,13,D,100,D
20241,05344564,4,0,1,130,D,01,D,470,D
20241,05344634,2,0,1,150,D,13,D,220,D
20241,05344724,5,0,2,150,D,11,D,100,D
20241,05344744,10,0,1,100,D,13,D,50,D
20241,05344774,3,0,1,170,D,12,D,150,D
20241,05344904,8,0,1,170,D,12,D,1000,D
20241,05344904,9,0,1,150,D,13,D,1000,D
20241,05344964,3,0,1,140,D,12,D,800,D
20241,05344964,4,0,1,160,D,13,D,10,D
20241,05344964,5,0,1,160,D,13,D,15,D
20241,05344974,3,0,1,170,D,11,D,300,D
20241,05345024,6,0,1,100,D,13,D,2000,D
20241,05345064,3,0,1,170,D,13,D,2,D
20241,05345064,4,0,1,150,D,01,D,75,D
20241,05345064,5,0,1,150,D,12,D,100,D
20241,05345064,6,0,1,160,D,12,D,5,D
20241,05345064,7,0,2,150,D,11,D,50,D
20241,05345124,6,0,1,150,D,13,D,30,D
20241,05345124,7,0,1,160,D,13,D,18,D
20241,05345194,7,0,1,170,D,12,D,100,D
20241,05345214,2,0,1,150,D,13,D,140,D
20241,05345254,4,0,1,170,D,12,D,100,D
20241,05345254,5,0,1,170,D,12,D,1500,D
