QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20243,05685952,5,0,1,303,D,,A,08,D,,A,,A,,,18500,A,D
20243,05686012,8,0,1,365,D,,A,08,D,,A,,A,,,100,A,D
20243,05686412,15,0,1,100,D,2,D,13,D,,A,,A,,,600,A,D
20243,05686412,16,0,1,200,D,,A,07,D,,A,,A,,,1600,A,D
20243,05686412,17,0,1,200,D,,A,08,D,,A,,A,,,1200,A,D
20243,05686412,18,0,2,100,D,2,D,06,D,,A,,A,,,200,A,D
20243,05686422,6,0,1,365,D,,A,08,D,,A,,A,,,160,A,D
20243,05686462,18,0,1,321,D,,A,,A,4,D,,A,1,,80,D,D
20243,05686462,19,0,1,321,D,,A,,A,4,D,,A,1,,80,D,D
20243,05686622,4,0,1,303,D,,A,13,D,,A,,A,,,285,A,D
20243,05686812,8,0,1,225,D,,A,13,D,,A,,A,,,3300,A,D
20243,05686812,9,0,1,321,D,,A,,A,4,D,,A,1,,80,D,D
20243,05687322,4,0,1,303,D,,A,07,D,,A,,A,,,1500,A,D
20243,05687482,8,0,1,200,D,,A,13,D,,A,,A,,,3300,A,D
20243,05687522,9,0,1,301,D,,A,07,D,,A,,A,,,180,A,D
20243,05687522,10,0,1,301,D,,A,07,D,,A,,A,,,180,A,D
20243,05687522,11,0,1,200,D,,A,08,D,,A,,A,,,360,A,D
20243,05687592,10,0,1,345,D,,A,13,D,,A,,A,,,360,A,D
20243,05687742,6,0,1,365,D,,A,08,D,,A,,A,,,800,A,D
20243,05687962,8,0,1,365,D,,A,08,D,,A,,A,,,100,A,D
20243,05687982,8,0,1,321,D,,A,,A,5,D,52,D,,,52,A,D
20243,05688022,6,0,1,365,D,,A,08,D,,A,,A,,,150,A,D
20243,05688032,8,0,1,301,D,,A,07,D,,A,,A,,,17800,A,D
20243,05688032,9,0,1,365,D,,A,08,D,,A,,A,,,200,A,D
20243,05688112,6,0,1,301,D,,A,13,D,,A,,A,,,228,A,D
20243,05688232,4,0,1,301,D,,A,08,D,,A,,A,,,100,A,D
20243,05688682,4,0,1,301,D,,A,08,D,,A,,A,,,1500,A,D
20243,05688822,6,0,1,100,D,1,D,13,D,,A,,A,,,600,A,D
20243,05688832,14,0,1,200,D,,A,07,D,,A,,A,,,1000,A,D
20243,05688832,15,0,2,225,D,,A,06,D,,A,,A,,,1600,A,D
20243,05688842,15,0,1,700,D,,A,13,D,,A,,A,,,13299,A,D
20243,05688982,4,0,1,365,D,,A,08,D,,A,,A,,2,70,A,D
20243,05689182,8,0,1,345,D,,A,08,D,,A,,A,,,50,A,D
20243,05795501,5,0,1,303,D,,A,04,D,,A,,A,,,700,A,D
20243,05795791,16,0,1,303,D,,A,05,D,,A,,A,,,3800,A,D
